"","GEOID","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Poverty","Gini"
"19","53033001702",2275,1276771.4467743,0.4003066,0.589011,0.7602496,0.6073399,0.5754,0.93679,0.7434944,0.8652383,0.3666
"20","53033001800",2207,937473.3283154,0.5312151,0.4775714,0.608486,0.6793113,0.625,0.95993,0.7791165,0.8582391,0.3878
"21","53033001900",2355,1620095.7110249,0.3135,0.5537155,0.6068455,0.6896552,0.562,0.89448,0.7357748,0.8727309,0.4509
"22","53033002000",1620,1107209.4695087,0.3480823,0.6932099,0.7771619,0.6335424,0.6131,1.21184,0.8118838,0.8541396,0.3925
"23","53033002100",1791,1351362.2637967,0.3295193,0.6314908,0.8380952,0.7456869,0.6653,1.1375,0.8084437,0.8817131,0.452
"24","53033002200",2387,2785970.0209029,0.2114524,0.8278173,0.8580645,0.7635895,0.8591,1.34554,0.7654049,0.9011986,0.4837
"25","53033002400",1326,973344.2632612,0.3483865,0.7066365,0.695558,0.6722313,0.7237,1.26944,0.7988794,0.9207569,0.387
"26","53033002500",1333,991007.0403829,0.3482316,0.6646662,0.8341969,0.7907422,0.6856,1.21635,0.8020864,0.8991597,0.4362
"27","53033002600",1989,1205186.2161159,0.4461551,0.6450478,0.787307,0.7637795,0.7127,1.14219,0.7877999,0.8519621,0.468
"28","53033002700",2484,1638578.7449529,0.3901552,0.702496,0.7639392,0.7669039,0.8127,1.455,0.7631785,0.9294007,0.4183
"29","53033002800",2262,979109.8512821,0.5253752,0.566313,0.8238994,0.7404987,0.718,1.37127,0.7797434,0.9292379,0.3566
"30","53033002900",2018,986803.5905756,0.4920939,0.6813677,0.8284353,0.7208251,0.684,1.12969,0.8595552,0.9290443,0.4509
"31","53033003000",2708,1478755.7438234,0.4279273,0.7160266,0.8200371,0.6986769,0.6961,1.05581,0.8414981,0.9534589,0.4203
"32","53033003100",2793,2191941.2956127,0.2988675,0.8091658,0.8221234,0.6777311,0.6841,1.27787,0.907495,0.9540652,0.4465
"33","53033003200",4526,2095824.2837571,0.4361053,0.4723818,0.7305333,0.700231,0.8457,0.95182,0.8699125,0.9137856,0.5233
"34","53033003300",3656,1302693.2339623,0.629849,0.4420131,0.580732,0.7581182,0.7241,1.27665,0.8110908,0.9203421,0.3806
"35","53033003400",1571,785731.8364659,0.4586807,0.598345,0.7432868,0.7574203,0.7819,1.1265,0.8695893,0.9451864,0.4338
"36","53033003500",1922,1283706.2297442,0.3325527,0.5780437,0.7995972,0.8060588,0.8478,1.05625,0.849145,0.9016588,0.4361
"37","53033003600",4264,1197456.8342866,0.6341773,0.309334,0.4740061,0.8087716,0.7294,0.83739,0.7702133,0.836597,0.4701
"38","53033003800",930,623769.7349953,0.3961398,0.7064516,0.8257956,0.8116646,0.7628,1.24286,0.7389721,0.8943288,0.5007
"39","53033003900",1211,967523.5657184,0.3200956,0.7266722,0.8108108,0.7812048,0.873,1.11806,0.7965773,0.8983819,0.4269
"40","53033004000",1403,2588847.5086474,0.1249977,0.657876,0.5843137,0.7383948,0.7293,0.85707,0.7184796,0.7299247,0.5194
"41","53033004100",2962,3257297.0552797,0.2487338,0.7039163,0.819438,0.8641799,1.4035,1.78935,0.8081955,0.9167711,0.4988
"42","53033004200",3364,2448767.8394317,0.3307786,0.7250297,0.8618452,0.7811334,0.8335,1.28966,0.8507407,0.939911,0.4517
"43","53033004301",1503,979671.1704824,0.4130978,0.5475715,0.790604,0.7838409,0.8409,0.95764,0.700766,0.7006803,0.4857
"44","53033004302",1604,327581.6580619,1.2351119,0.0586035,0.252,0.7664234,0.7188,0.34461,0.568957,0.4693812,0.5872
"45","53033004400",2881,986606.4133679,0.7768042,0.2436654,0.5560803,0.780695,0.9688,0.64026,0.743476,0.618133,0.5215
"46","53033004500",1037,667454.3004347,0.5076003,0.6210222,0.8171206,0.7741788,0.7028,1.13669,0.7334711,0.7284534,0.4195
"47","53033004600",1405,1549775.562173,0.2340339,0.6711744,0.7124183,0.7940609,0.9078,1.36528,0.8960573,0.9076372,0.3794
"48","53033004700",6126,1967369.3761281,0.5236942,0.2944825,0.2975159,0.7519494,0.5999,0.96745,0.79637,0.9105115,0.4239
"49","53033004800",2266,1327091.5896243,0.4080351,0.5450132,0.699115,0.7597099,0.7659,1.21492,0.8301016,0.9087719,0.4324
"50","53033004900",3711,1091370.2876087,0.6862016,0.2506063,0.5699234,0.7394013,0.6895,1.01203,0.8638002,0.9173223,0.4281
"51","53033005000",2123,753710.5173158,0.5843092,0.2416392,0.3917663,0.7557825,0.7436,0.98698,0.7797457,0.9089464,0.3767
"52","53033005100",1709,873478.6317865,0.4221053,0.6272674,0.731982,0.8270429,0.8158,1.19625,0.8315704,0.8695416,0.4834
"53","53033005200",3229,964395.758351,0.717133,0.1721895,0.4945848,0.7211191,0.6654,0.47883,0.5224118,0.6019446,0.5754
"54","53033005301",3294,543630.4956114,1.6240811,0.0048573,0.0526316,0.5618457,NA,0.26413,0.4092196,0.3751164,0.5257
"55","53033005302",149,2507991.5500347,0.2362847,0,0,0.4777778,NA,0.17188,0.4554506,0.405,0.5351
"56","53033005400",3457,1220476.5845833,0.5257782,0.3971652,0.5112994,0.8438794,0.7221,1.10956,0.7798036,0.9225495,0.4179
"57","53033005600",2850,3041377.7196379,0.2314083,0.9178947,0.8705208,0.7318841,0.9873,1.67622,0.8549304,0.951975,0.434
"58","53033005700",2864,5057803.4247395,0.1354541,0.6892458,0.7372627,0.6898139,0.7446,1.1875,0.8473216,0.9284776,0.4863
"59","53033005801",2891,1793690.5663418,0.3224636,0.3282601,0.504863,0.6933276,0.6239,0.98281,0.814834,0.8825876,0.3631
"60","53033005802",3011,3073746.702596,0.2037578,0.3819329,0.4522293,0.7177566,0.7407,0.77424,0.6959923,0.8334998,0.4473
"61","53033005900",2796,1783638.0687685,0.4562024,0.5683119,0.7046936,0.7815989,0.89,1.15129,0.7547007,0.8595489,0.4349
"62","53033006000",2758,1334130.1981916,0.4722178,0.464467,0.6682502,0.7064718,0.9174,1.14907,0.8093651,0.872055,0.4954
"63","53033006100",3034,1199212.5923417,0.4512961,0.4518787,0.5693241,0.7729049,0.8557,1.15586,0.7919438,0.9144494,0.4538
"64","53033006200",1668,2710611.0976611,0.1673423,0.8483213,0.8458401,0.8785243,1.075,2.08636,0.8564815,0.9554411,0.4342
"65","53033006300",2695,2326865.2017749,0.2514542,0.6493506,0.7358626,0.8396421,1.5149,1.29609,0.8950607,0.9299691,0.5713
"66","53033006400",1389,900536.7097567,0.4151968,0.7105832,0.8228388,0.8237491,1.137,1.66125,0.8293661,0.9454887,0.4832
"67","53033006500",2549,1155474.1219101,0.4263185,0.4550804,0.5761194,0.7496252,1.0142,1.01847,0.8302883,0.9128664,0.4754
"68","53033006600",2341,1100364.5471588,0.3872353,0.2285348,0.4064081,0.825171,0.7599,1.14561,0.7690683,0.866698,0.4114
"69","53033006700",5174,1267977.160629,0.738578,0.2725164,0.3486287,0.7815116,0.8031,1.1859,0.6581954,0.9494928,0.3702
"70","53033006800",1487,706890.1238182,0.4911654,0.4566241,0.7051745,0.8652539,1.0587,1.28664,0.8554147,0.9654378,0.4807
"71","53033006900",2265,921108.7744226,0.5606287,0.5284768,0.627498,0.7761929,1.0055,1.30524,0.8576685,0.9475524,0.4523
"72","53033007000",5189,813631.6621073,0.9208098,0.2936982,0.3797595,0.6866101,0.6517,0.69375,0.7717565,0.8787228,0.5541
"73","53033007100",3380,850921.7221756,0.6229715,0.2053254,0.008377,0.7363281,0.5567,0.8681,0.6312017,0.8912015,0.4655
"74","53033007200",6915,1005239.4520557,1.1234139,0.1599422,0.043782,0.8052812,0.6585,1.17908,0.5624723,0.8659107,0.4777
"75","53033007300",5748,915179.1533709,0.9265945,0.085595,0.0063521,0.6763208,0.6239,0.92656,0.5663915,0.8331952,0.4551
"76","53033007401",3912,266438.0669993,2.1250717,0.1968303,0.1813403,0.7947819,0.3568,0.78632,0.7004592,0.8954433,0.4149
"77","53033007402",3810,244275.2505947,2.334252,0.1692913,0.0360656,0.5782589,0.3804,0.53312,0.6729218,0.7450018,0.5041
"78","53033007500",6362,796707.0172126,1.1782248,0.1653568,0.2939297,0.7572981,0.5856,0.6786,0.7570044,0.8115479,0.4743
"79","53033007600",2361,570105.3944146,0.8014308,0.3257094,0.3395225,0.7882653,0.7437,0.88525,0.8098052,0.8238799,0.4938
