Class,CompletedDate,Latitude,Longitude,Installer
Single family,2014-01-10,47.52727941,-122.28698967,ARTISAN ELECTRIC INC
Single family,2013-01-28,47.68186062,-122.39449499,PUGET SOUND SOLAR
Multifamily,2015-04-29,47.66970274,-122.31224745,PUGET SOUND SOLAR
Single family,2014-08-05,47.63185783,-122.30894482,EARL CHILDS
Single family,2015-04-01,47.57454798,-122.38703399,PUGET SOUND SOLAR
Single family,2015-07-08,47.65744375,-122.35884158,SUNERGY SYSTEMS
Single family,2016-09-08,47.65164164,-122.27854592,A&R SOLAR
Single family,2014-05-23,47.65605875,-122.27673897,SME INC OF SEATTLE
Single family,2015-06-25,47.66905982,-122.28826062,EARL CHILDS
Single family,2018-07-18,47.6663377,-122.33524688,SUNERGY SYSTEMS
Single family,2015-06-01,47.64928627,-122.4013298,SUNERGY SYSTEMS
Single family,2013-09-13,47.71764818,-122.36988537,PUGET SOUND SOLAR
Single family,2014-06-12,47.70787311,-122.31351207,A&R SOLAR
Single family,2013-12-13,47.66519438,-122.33029379,SUNERGY SYSTEMS
Single family,2014-05-13,47.61325207,-122.31303326,ARTISAN ELECTRIC INC
Single family,2014-01-13,47.58727323,-122.30098983,ARTISAN ELECTRIC INC
Single family,2015-02-19,47.5175036,-122.25641084,SME INC OF SEATTLE
Single family,2015-05-29,47.54734425,-122.39280815,NA
Single family,2013-11-27,47.61424579,-122.28676585,PUGET SOUND SOLAR
Single family,2012-10-30,47.66332141,-122.32586314,EARL CHILDS
Single family,2008-01-24,47.52664425,-122.32205077,NORTH CITY ELECTRIC
Single family,2013-08-12,47.68084423,-122.37281478,ARTISAN ELECTRIC INC
Single family,2015-08-19,47.66561976,-122.33066714,SME INC OF SEATTLE
Single family,2015-12-31,47.61592388,-122.28565897,EARL CHILDS
Single family,2016-04-01,47.55650782,-122.38446528,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-06-19,47.52484472,-122.36560304,SME INC OF SEATTLE
Single family,2017-09-28,47.68871109,-122.34749603,PUGET SOUND SOLAR
Single family,2016-04-06,47.71802206,-122.37292417,SME INC OF SEATTLE
Single family,2018-09-13,47.63796335,-122.4102872,A&R SOLAR
Single family,2015-12-29,47.522442,-122.38178182,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-12-19,47.67971279,-122.28257157,PUGET SOUND SOLAR
