City,Zip Code,Lat,Long,Year,Month,kW
Barre City,05641,44.1973,-72.52087,2019,3,12.6
Barre City,05641,44.194956,-72.479852,2016,6,13
Barre City,05649,44.15588,-72.45049,2015,10,6
Barre City,05654,44.15028,-72.48902,2017,11,5
Barre Town,05654,44.128393,-72.455795,2018,4,5
Barre Town,05641,44.17301059,-72.54135266,2014,10,1.8
Barre Town,05641,44.201813,-72.4287949,2011,4,2.4
Barre Town,05641,44.194158,-72.478678,2016,11,3
Barre Town,05641,44.20432,-72.47825,2016,9,3
Barre Town,05641,44.205476,-72.489723,2016,12,3.6
Barre Town,05641,44.172342,-72.501276,2016,11,3.6
Barre Town,05641,44.19088,-72.46887,2018,8,3.8
Barre Town,05641,44.216875,-72.441672,2017,8,3.8
Barre Town,05641,44.19175,-72.4813,2019,5,3.8
Barre Town,05641,44.16526,-72.47347,2013,9,4.97
Barre Town,05641,44.23470683,-72.51375467,2015,8,5
Barre Town,05641,44.18398,-72.51882,2015,7,5
Barre Town,05641,44.216234,-72.521606,2014,2,5.9
Barre Town,05641,44.191742,-72.503285,2019,8,6
Barre Town,05641,44.20346,-72.47822,2016,11,6
Barre Town,05641,44.228495,-72.478736,2018,4,6
Barre Town,05641,44.177006,-72.534511,2018,3,6
Barre Town,05641,44.17447,-72.54,2017,11,6
Barre Town,05641,44.216977,-72.442137,2017,8,6
Barre Town,05641,44.17145,-72.49876,2016,2,7
Barre Town,05641,44.170535,-72.476868,2019,3,7.6
Barre Town,05641,44.18557,-72.46421,2018,9,7.6
Barre Town,05641,44.20546,-72.48024,2016,12,7.6
Barre Town,05641,44.1588,-72.513777,2016,8,7.6
Barre Town,05641,44.16969,-72.47853,2015,12,7.6
Barre Town,05641,44.21932,-72.48302,2018,10,7.6
Barre Town,05641,44.21924,-72.50083,2013,11,7.71
Barre Town,05641,44.21487,-72.40284,2018,7,7.83
Barre Town,05641,44.18687,-72.45662,2019,7,8.4
Barre Town,05641,44.18674171,-72.45622982,2019,7,8.4
Barre Town,05641,44.2336,-72.5035,2013,10,8.4
Barre Town,05641,44.20776967,-72.45385167,2014,11,8.8
Barre Town,05642,44.19588,-72.47945,2018,7,10
Barre Town,05649,44.15868067,-72.45639183,2016,6,5
Barre Town,05654,44.1528845,-72.4951325,2015,7,2.15
Barre Town,05654,44.15709,-72.50395,2013,10,4.04
Barre Town,05654,44.15278,-72.49343,2016,12,4.2
Barre Town,05654,44.166023,-72.500273000000007,2019,6,5
Barre Town,05654,44.15376,-72.49296,2016,12,5
Barre Town,05654,44.1572,-72.50687,2018,8,7.6
Barre Town,05654,44.14937,-72.49097,2017,6,7.6
Barre Town,05654,44.148005,-72.50608833,2017,2,7.6
Barre Town,05670,44.16207,-72.51074,2017,1,6.6
Barre Town,05670,44.15317,-72.51932,2016,7,7.6
Barre Town,05670,44.15333,-72.51809,2016,12,8.2
Barre Town,05678,44.166802,-72.476146,2019,5,3
Barton,05822,44.75006,-72.24405,2011,6,1.31
Barton,05822,44.76036,-72.1725,2017,10,6.16
Barton,05822,44.71865,-72.18416833,2018,2,9.52
Barton,05822,44.72432,-72.16963,2019,4,10
Barton,05822,44.770175,-72.239567,2018,8,10
Barton,05839,44.7520905,-72.21369383,2019,5,11.4
Barton,05860,44.80437,-72.1529,2015,12,2.5
Barton,05860,44.812321,-72.193576,2019,2,5
Barton,05860,44.74882,-72.165,2019,1,5
Barton,05860,44.77371,-72.221,2018,10,6
Barton,05860,44.816315,-72.206573,2015,10,7.6
Belvidere,05442,44.74585,-72.70525,2014,12,7
Belvidere,05442,44.75459,-72.68386,2015,5,7.5
Belvidere,05442,44.76582462,-72.62169269,2017,7,9
Belvidere,05442,44.74462033,-72.73525333,2015,3,10
Bennington,05201,42.916558,-73.220397,2013,4,2.7
Bennington,05201,42.87897,-73.1694,2010,2,2.74
Bennington,05201,42.87833,-73.20696,2019,8,2.95
Bennington,05201,42.88063,-73.17992,2018,12,3
Bennington,05201,42.88973,-73.22037,2018,5,3
Bennington,05201,42.880076,-73.184199,2017,11,3
Bennington,05201,42.92272,-73.26634,2016,8,3
Bennington,05201,42.87723,-73.18421,2013,7,3.1
Bennington,05201,42.8762,-73.17731,2013,7,3.3
Bennington,05201,42.88145,-73.1782,2013,9,3.59
Bennington,05201,42.863498,-73.179011,2017,1,3.6
Bennington,05201,42.912565,-73.205503,2016,9,3.6
Bennington,05201,42.89941,-73.18051,2016,9,3.6
Bennington,05201,42.88241,-73.17771,2016,7,3.6
Bennington,05201,42.877454,-73.166415,2016,6,3.6
