"","GEOID","City","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Wealth","Gini"
"69","5000766175","South Burlington",8764,76600426.8634491,0.000250155263940747,0.599726152441807,0.589151993523578,0.557126933259022,307500,73065,0.899540757749713,0.873101030489748,0.4287
"70","5000773975","Underhill",1200,132976754.352727,2.31619429650851e-05,0.935,0.886363636363636,0.595881006864989,336300,102783,0.953571428571429,0.967490247074122,0.3426
"71","5000780350","Westford",820,101711161.748184,2.15610554663551e-05,0.923170731707317,0.831610044313146,0.48177887584929,296200,91875,0.975832193342453,0.920127795527157,0.3674
"72","5000784475","Williston",3916,79076815.1147059,0.000122488494079457,0.796475995914198,0.703027950310559,0.610692449879141,351700,94727,0.927937228990295,0.892450879007239,0.4172
"73","5000785150","Winooski",3189,3892614.02763861,0.00186044646311703,0.368454060834117,0.406003159557662,0.379667207792208,225200,51728,0.773819386909693,0.616313770072474,0.4558
"74","5000902125","Averill",7,98384625.9147638,1.01641896861646e-07,1,1,0,NA,NA,1,1,0.1064
"75","5000906325","Bloomfield",91,104731865.929151,1.89054208328479e-06,0.835164835164835,0.677966101694915,0.100591715976331,132100,47679,1,0.818181818181818,0.5533
"76","5000908725","Brighton",527,137817289.982724,8.59834060115787e-06,0.647058823529412,0.559077809798271,0.175141242937853,134400,41964,0.956962025316456,0.8,0.3888
"77","5000910075","Brunswick",37,67124958.3683027,1.41527089638927e-06,0.864864864864865,0.78125,0.166666666666667,196400,43125,1,0.709677419354839,0.4138
"78","5000911800","Canaan",409,86336003.8349027,1.01927349067811e-05,0.775061124694376,0.783783783783784,0.138392857142857,116500,43750,0.913636363636364,0.780681818181818,0.4215
"79","5000915250","Concord",541,138191743.530449,9.29143787607751e-06,0.857670979667283,0.521452145214521,0.134054054054054,149300,52750,0.977414330218069,0.788115715402658,0.3667
"80","5000921250","East Haven",101,96678311.0454208,2.33764944335676e-06,0.930693069306931,0.634920634920635,0.298342541436464,112500,37813,1,0.730088495575221,0.3546
"81","5000925975","Ferdinand",5,136380694.245044,1.53980738375389e-07,1,1,0,NA,NA,1,1,NA
"82","5000929125","Granby",38,101234143.028554,8.00125309275873e-07,0.868421052631579,0.925925925925926,0.0684931506849315,97500,25500,1,0.641975308641975,0.6459
"83","5000930775","Guildhall",107,84545326.7053175,2.53118662307494e-06,0.934579439252336,0.863636363636364,0.266666666666667,156600,49250,0.957943925233645,0.850961538461538,0.4581
"84","5000939700","Lemington",62,91116748.3951335,1.27309196216001e-06,0.903225806451613,0.911764705882353,0.0412371134020619,144100,29643,1,0.793103448275862,0.458
"85","5000941425","Lunenburg",597,117575012.958024,1.25026565000236e-05,0.83249581239531,0.620512820512821,0.129151291512915,124000,43185,0.980952380952381,0.675510204081633,0.3751
"86","5000942475","Maidstone",104,83572836.3439266,2.51277818471769e-06,0.961538461538462,0.944444444444444,0.360655737704918,268800,70714,0.933333333333333,0.695238095238095,0.4789
"87","5000952750","Norton",67,101579149.218865,1.25025658293675e-06,0.865671641791045,0.842105263157895,0.221238938053097,169400,41250,0.929133858267717,0.763779527559055,0.3718
"88","5000975175","Victory",47,111021009.004812,7.47606248078705e-07,0.978723404255319,0.933333333333333,0.297297297297297,111100,40972,1,0.759036144578313,0.3023
"89","5001102500","Bakersfield",461,115334402.504054,9.41609768136461e-06,0.893709327548807,0.691616766467066,0.193438914027149,206800,67604,0.882136279926335,0.924493554327808,0.3657
"90","5001105425","Berkshire",597,109090545.13068,1.53267178012275e-05,0.8107202680067,0.69212962962963,0.138888888888889,193300,59018,0.916866028708134,0.795151515151515,0.416
"91","5001124050","Enosburgh",1033,125883595.959707,2.19726802282114e-05,0.685382381413359,0.615727002967359,0.203460933403251,184300,56146,0.915762834417932,0.807434944237918,0.3894
"92","5001124925","Fairfax",1843,104455644.959498,4.49185872321148e-05,0.791101465002713,0.781666666666667,0.369066331342345,258000,77564,0.9923273657289,0.935131663455363,0.3727
"93","5001125225","Fairfield",728,177052340.046872,1.17140502037473e-05,0.831043956043956,0.844569288389513,0.319755600814664,256100,89063,0.953230472516876,0.8900675024108,0.3959
